artist_id,name,genres,popularity,followers,total_streams,daily_chart_times,avg_chart_pos,top_peak_pos
181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,"houston rap, pop, trap queen",86,5164216,1052437074.0,484.0,119.0,1.0
5rGrDvrLOV2VV8SCFVGWlj,Imanbek,"dance pop, edm, electro house, pop dance, slap house, tropical house",79,118132,1041395988.0,367.0,51.0,2.0
0H39MdGGX6dbnnQPt6NQkZ,SAINt JHN,"melodic rap, pop rap, rap, slap house, trap",76,760567,1041122499.0,367.0,65.0,2.0
28gNT5KBp7IjEOQoevXf9N,Camilo,"colombian pop, reggaeton colombiano",85,11503812,1034473061.0,838.0,108.0,21.0
64KEffDW9EtZ1y2vBYgq8T,Marshmello,"brostep, edm, pop, pop dance, progressive electro house",86,32104887,1007923884.0,846.0,105.0,2.0
5f7VJjfbwm532GiveGC0ZK,Lil Baby,"atl hip hop, atl trap, rap, trap",92,8303395,983637048.0,780.0,136.0,6.0
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,"canadian pop, dance pop, pop, viral pop",87,34634402,971471560.0,646.0,109.0,6.0
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,"dance pop, pop, post-teen pop",84,23496011,937417313.0,644.0,101.0,9.0
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,"k-pop, k-pop girl group",84,25125428,926150577.0,597.0,77.0,2.0
50co4Is1HCEo8bhOyUWKpn,Young Thug,"atl hip hop, atl trap, gangster rap, hip hop, melodic rap, pop rap, rap, trap",89,6526467,915905819.0,959.0,127.0,7.0
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,"dance pop, hip pop, pop, pop rap, queens hip hop",88,22666749,911522393.0,489.0,128.0,3.0
4Gso3d4CscCijv0lmajZWs,Don Toliver,"pop, rap, trap",83,1704360,894770962.0,572.0,101.0,2.0
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,"dance pop, pop, post-teen pop",84,10071170,889078604.0,428.0,108.0,1.0
4kYSro6naA4h99UJvo89HB,Cardi B,"dance pop, pop, pop rap, rap",86,18050863,881932537.0,454.0,115.0,1.0
14zUHaJZo1mnYtn6IBRaRP,Justin Quiles,"latin, reggaeton, trap latino",85,2985416,857152288.0,863.0,122.0,31.0
6fWVd57NKTalqvmjRd2t8Z,24kGoldn,cali rap,81,1374277,852304939.0,367.0,99.0,1.0
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,"melodic rap, philly rap, rap, trap",89,12090278,809701812.0,745.0,109.0,6.0
1pQWsZQehhS4wavwh7Fnxd,Lenny TavÃÂ¡rez,"latin, reggaeton, reggaeton flow, trap argentino, trap latino",83,1399287,803509575.0,783.0,119.0,28.0
7dGJo4pcD2V6oG8kP0tJRR,Eminem,"detroit hip hop, hip hop, rap",91,47989819,790967033.0,563.0,113.0,3.0
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,"atl hip hop, hip hop, melodic rap, rap, trap",87,3481095,788672128.0,517.0,124.0,2.0
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,"emo rap, miami hip hop",89,30938104,788564615.0,1020.0,168.0,89.0
04gDigrS5kc9YWfZHwBETP,Maroon 5,"pop, pop rock",88,33122825,780352652.0,554.0,128.0,4.0
35l9BRT7MXmM8bv2WDQiyB,beabadoobee,"bedroom pop, bubblegrunge, indie pop",73,808864,779015290.0,321.0,33.0,4.0
6bmlMHgSheBauioMgKv2tn,Powfu,sad rap,76,956055,779015290.0,321.0,33.0,4.0
7uaIm6Pw7xplS8Dy06V6pT,Trevor Daniel,"alternative r&b, melodic rap, pop, pop rap",73,644674,776323953.0,394.0,73.0,6.0
329e4yvIujISKGKz1BZZbO,Farruko,"latin, reggaeton, trap latino",90,10928143,770059167.0,592.0,120.0,11.0
0EFisYRi20PTADoJrifHrz,Jhay Cortez,"latin, reggaeton, trap latino",89,2683267,764377521.0,478.0,74.0,1.0
