artist_id,followers,genres,popularity,name
6wWVKhxIU2cEi0K81v7HvP,6372390,"alternative metal, german metal, industrial, industrial metal, industrial rock, neue deutsche harte, nu metal",78,Rammstein
0vR2qb8m9WHeZ5ByCbimq2,6341524,"latin, latin arena pop, latin pop, mexican pop",82,Reik
5LHRHt1k9lMyONurDHEdrp,6341066,"dance pop, hip hop, pop rap, rap, southern hip hop, trap",84,Tyga
7me0S5Z40qVWj3gzyK8aC3,6310263,"funk carioca, funk ostentacao, funk paulista",67,Mc Livinho
4phGZZrJZRo4ElhRtViYdl,6257836,"acoustic pop, neo mellow, pop, pop rock",76,Jason Mraz
0rZRTXEmmPmx6gt92tBqIc,6248368,opm,70,Moira Dela Torre
738wLrAtLtCtFOLvQBXOXp,6242814,"dance pop, edm, electro house, moombahton, pop, pop dance",78,Major Lazer
7tYKF4w9nC0nq9CsPZTHyP,6228171,"pop, r&b, rap",86,SZA
0C0XlULifJtAgn6ZNCW2eu,6212309,"alternative rock, dance rock, modern rock, permanent wave, rock",79,The Killers
1dVygo6tRFXC8CSWURQJq2,6208367,"desi pop, filmi, modern bollywood, sufi",71,Sonu Nigam
7slfeZO9LsJbWgpkIoXBUJ,6149796,"dance pop, latin, latin pop, mexican pop, puerto rican pop",77,Ricky Martin
1yxSLGMDHlW21z4YXirZDS,6104474,"dance pop, pop",82,Black Eyed Peas
3OLGltG8UPIea8sA4w0yg0,6097628,"classic pakistani pop, filmi, modern bollywood, qawwali, sufi",68,Rahat Fateh Ali Khan
6fOMl44jA4Sp5b9PpYCkzz,6055708,"hip hop, pop rap, rap",83,NF
1UTPBmNbXNTittyMJrNkvw,6021102,"contemporary country, country, country road, oklahoma country",74,Blake Shelton
5RmQ8k4l3HZ8JoPb4mNsML,6020323,k-rap,70,Agust D
3WGpXCj9YhhfX11TToZcXP,6006659,"australian pop, dance pop, electropop, pop, viral pop",80,Troye Sivan
31W5EY0aAly4Qieq6OFu6I,5971969,"melodic rap, rap, trap",83,A Boogie Wit da Hoodie
1z4g3DjTBBZKhvAroFlhOM,5968104,"k-pop, k-pop girl group",76,Red Velvet
33ScadVnbm2X8kkUqOkC6Z,5967582,"latin, latin hip hop, puerto rican pop, reggaeton, trap latino",82,Don Omar
1sPg5EHuQXTMElpZ4iUgXe,5963588,"folk brasileiro, nova mpb, pop lgbtq+ brasileira, pop nacional, portuguese pop",72,ANAVITÃRIA
7An4yvF7hDYDolN4m5zKBp,5946534,"argentine rock, latin alternative, latin rock, post-punk argentina, rock en espanol, ska argentino",75,Soda Stereo
6DPYiyq5kWVQS4RGwxzPC7,5938698,"g funk, gangster rap, hip hop, rap, west coast rap",80,Dr. Dre
2o5jDhtHVPhrJdv3cEQ99Z,5909696,"big room, brostep, dance pop, dutch edm, edm, house, pop, pop dance, slap house, trance, tropical house",84,TiÃ«sto
5y2Xq6xcjJb2jVM54GHK3t,5906254,"neo soul, pop, pop soul, r&b, urban contemporary",80,John Legend
43ZHCT0cAZBISjO8DG9PnE,5864322,"rock-and-roll, rockabilly",78,Elvis Presley
4zCH9qm4R2DADamUHMCa6O,5836034,"desi hip hop, filmi, tamil hip hop",74,Anirudh Ravichander
7nqOGRxlXj7N2JYbgNEjYH,5759545,"k-pop, k-pop boy group",76,SEVENTEEN
21451j1KhjAiaYKflxBjr1,5672488,"latin, latin hip hop, reggaeton, trap latino",82,Zion & Lennox
2dIgFjalVxs4ThymZ67YCE,5650427,"k-pop, k-pop boy group",82,Stray Kids
7gOdHgIoIKoe4i9Tta6qdD,5584529,"boy band, dance pop, pop, post-teen pop",81,Jonas Brothers
718COspgdWOnwOFpJHRZHS,5579121,"contemporary country, country",82,Luke Combs
3qvcCP2J0fWi0m0uQDUf6r,5559772,"sertanejo, sertanejo pop, sertanejo universitario",76,Luan Santana
2qxJFvFYMEDqd7ui6kSAcq,5559432,"complextro, dance pop, edm, electro house, electropop, german techno, pop, pop dance, tropical house",78,Zedd
6w9ToX5slZ4uIdmD17hJ3c,5530920,"latin, latin hip hop, reggaeton, reggaeton flow, trap latino",79,Bryant Myers
4xRYI6VqpkE3UwrDrAZL8L,5503806,"conscious hip hop, dmv rap, hip hop, pop rap, rap",81,Logic
3HqSLMAZ3g3d5poNaI7GOU,5436689,k-pop,76,IU
6tbjWDEIzxoDsBA1FuhfPW,5431686,"dance pop, pop",78,Madonna
1anyVhU62p31KFi8MEzkbf,5417598,"chicago rap, conscious hip hop, hip hop, pop rap, rap",79,Chance the Rapper
20sxb77xiYeusSH8cVdatc,5408802,"hip hop, philly rap, pop rap, rap, southern hip hop, trap",81,Meek Mill
5sUrlPAHlS9NEirDB8SEbF,5406101,"cantautor, latin, latin arena pop, latin pop, mexican pop, rock en espanol, spanish pop",77,Alejandro Sanz
3KV3p5EY4AvKxOlhGHORLg,5291502,"chicago rap, dance pop, hip hop, pop, pop rap, r&b, southern hip hop, trap, urban contemporary",78,Jeremih
6AgTAQt8XS6jRWi4sX7w49,5288866,chicago rap,88,Polo G
